name,version,publisher,install_date,size_formatted,install_location
Python 3.10.10 pip Bootstrap (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,252 KB,
Python 3.10.10 Standard Library (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,25.56 MB,
Python 3.10.10 Tcl/Tk Support (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,15.61 MB,
Python 3.10.10 Test Suite (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,23.61 MB,
Python 3.10.10 Utility Scripts (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,776 KB,
Python Launcher,3.10.10150.0,Python Software Foundation,2023-02-20,1.44 MB,
QGIS 3.28.0 'Firenze',3.28.0,QGIS.org,2022-10-27,2.44 GB,
RefreshRateService,2.1.0,ASUSTeK COMPUTER INC.,2021-11-05,674 KB,
ROG Live Service,2.4.24.0,ASUSTek COMPUTER INC.,2024-11-10,17.45 MB,
Thonny 4.1.4,4.1.4,Aivar Annamaa,2024-05-06,117.69 MB,C:\Program Files (x86)\Thonny\
VLC media player,3.0.12,VideoLAN,,Unknown,C:\VLC
WebAdvisor by McAfee,4.1.1.1077,"McAfee, LLC",,91.83 MB,C:\Program Files\McAfee\WebAdvisor
Windows PC Health Check,3.6.2204.08001,Microsoft Corporation,2022-04-28,11.66 MB,
Windows Subsystem for Linux,2.5.10.0,Microsoft Corporation,2025-08-24,838.25 MB,
WinRAR 5.91 (64-bit),5.91.0,win.rar GmbH,,Unknown,C:\Program Files\WinRAR\
